filename,subjectID,date,time,gameNumber,trueMean_1,trueMean_2,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,reward_1,reward_2,reward_3,reward_4,reward_5,reward_6,reward_7,reward_8,reward_9,reward_10,timeBanditOn_1,timeBanditOn_2,timeBanditOn_3,timeBanditOn_4,timeBanditOn_5,timeBanditOn_6,timeBanditOn_7,timeBanditOn_8,timeBanditOn_9,timeBanditOn_10,timeKeyPress_1,timeKeyPress_2,timeKeyPress_3,timeKeyPress_4,timeKeyPress_5,timeKeyPress_6,timeKeyPress_7,timeKeyPress_8,timeKeyPress_9,timeKeyPress_10,timeRewardOn_1,timeRewardOn_2,timeRewardOn_3,timeRewardOn_4,timeRewardOn_5,timeRewardOn_6,timeRewardOn_7,timeRewardOn_8,timeRewardOn_9,timeRewardOn_10
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,33,4,4,2,1,2,1,2,2,NaN,NaN,NaN,NaN,4,4,4,4,4,4,NaN,NaN,NaN,NaN,27925.081448166,27925.715042453,27926.349536395,27927.316876518,27927.716797475,27928.134690463,NaN,NaN,NaN,NaN,27925.413358016,27926.045192688,27927.012703892,27927.413027209,27927.78078992,27928.420503671,NaN,NaN,NaN,NaN,27925.63251525,27926.265902832,27927.233565274,27927.634162055,27928.018023046,27928.652464104,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,34,3,3,2,1,2,1,1,1,NaN,NaN,NaN,NaN,3,3,3,3,3,3,NaN,NaN,NaN,NaN,27930.05360068,27930.754633493,27931.571911052,27932.489024843,27932.805542136,27933.206697819,NaN,NaN,NaN,NaN,27930.444694719,27931.268878713,27932.180932879,27932.501060396,27932.861119168,27933.220792924,NaN,NaN,NaN,NaN,27930.6707786,27931.488083982,27932.406269196,27932.72252576,27933.089317067,27933.45702166,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,35,2,4,2,2,1,2,2,2,NaN,NaN,NaN,NaN,4,4,2,4,4,4,NaN,NaN,NaN,NaN,27934.85899007,27936.126533492,27936.643778068,27937.411644828,27938.195300982,27938.595959321,NaN,NaN,NaN,NaN,27935.829187793,27936.33345855,27937.109422838,27937.877160745,27938.24516702,27938.693204454,NaN,NaN,NaN,NaN,27936.043910806,27936.561030223,27937.327292258,27938.11202114,27938.479258959,27938.929794134,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,36,5,4,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27940.348558328,27941.165933706,27942.250239991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27940.868668513,27941.94947404,27942.820624703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27941.081989448,27942.167192545,27943.050948381,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,37,1,1,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27944.452869392,27945.237195974,27946.321560583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27944.940491232,27946.013212318,27947.30081139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27945.153810415,27946.237964778,27947.522576276,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,38,3,2,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27948.941108172,27949.708696145,27950.576203746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27949.412926243,27950.269407246,27951.092711351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27949.625159295,27950.492941396,27951.309778817,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,39,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27952.711074911,27953.346121226,27954.07973019,27955.498490276,27955.948556106,27956.315594017,27956.799419261,27957.250064818,27957.734257794,27958.201422599,27953.036564649,27953.773296125,27955.196846712,27955.613016701,27955.964745848,27956.444701476,27956.892583499,27957.372808954,27957.844660178,27958.388928934,27953.262114361,27953.996182752,27955.41440879,27955.849078414,27956.199038632,27956.683282152,27957.133523572,27957.616930282,27958.084049397,27958.634889168
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,40,1,3,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27960.453738082,27961.304623632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27961.005207384,27962.428485898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27961.221023253,27962.655653543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,41,2,2,2,1,2,1,1,1,NaN,NaN,NaN,NaN,2,2,2,2,2,2,NaN,NaN,NaN,NaN,27966.477134655,27967.862119676,27968.796450426,27969.813962968,27970.146764028,27970.498386893,NaN,NaN,NaN,NaN,27967.557421124,27968.49247653,27969.508663895,27969.820746491,27970.149374311,27970.532578776,NaN,NaN,NaN,NaN,27967.778033947,27968.712906878,27969.730841203,27970.048115465,27970.38109019,27970.764888935,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,42,5,5,2,2,2,2,2,2,NaN,NaN,NaN,NaN,5,5,5,5,5,5,NaN,NaN,NaN,NaN,27972.18327702,27973.034437502,27974.168582316,27974.485560107,27974.818927334,27975.170305393,NaN,NaN,NaN,NaN,27972.724748811,27973.861044442,27974.173338871,27974.508966393,27974.828808191,27975.300999152,NaN,NaN,NaN,NaN,27972.950778775,27974.085172817,27974.402989403,27974.735501653,27975.05273997,27975.536909658,NaN,NaN,NaN,NaN
