time,x,y,chuckID,frate,duration,stuckdurs,stucktimes,filename,folderdate,foldersession,rat,foldername
860251718,272,185,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860251778,277,181,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860251838,297,187,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860251899,295,189,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252019,295,192,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252078,292,188,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252199,294,182,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252259,296,190,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252320,297,186,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252440,302,187,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252499,300,188,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252621,304,192,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252740,304,188,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860252982,308,187,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860253043,310,189,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860253164,312,187,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860253224,315,190,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860253403,318,190,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860253464,316,192,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860253523,319,192,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860253585,318,187,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860253705,322,189,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860253764,321,185,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860278262,323,184,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860278312,327,170,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860278431,325,169,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860278491,323,167,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860278852,304,174,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860278973,319,166,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860279033,301,174,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860279153,301,177,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860279274,318,166,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860279333,304,182,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860279394,305,184,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860279574,303,188,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860279635,298,189,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860279755,299,191,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860279875,297,192,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860280117,298,194,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860282222,293,192,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860282344,294,190,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860282403,292,189,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860283126,291,186,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860283245,302,169,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860283310,286,182,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860283426,281,180,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860283486,282,182,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860283666,280,180,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860283907,277,177,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284087,280,179,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284148,278,177,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284269,278,180,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284329,293,169,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284389,280,171,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284450,283,170,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284509,284,168,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284689,285,166,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284810,284,161,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284930,286,155,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860284990,283,155,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860285051,282,153,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860285110,282,150,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860285233,281,145,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860285292,282,147,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860285352,281,145,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860285412,283,142,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
860285533,278,144,1,16.4054683152772,31.8989166666667,20.6628257614361,11.061,TrackData.txt,10120,,Ratzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Ratzo/RawData/010120
